Wall time,Step,Value
1742044080.4285626,50808,-845828.3125
1742044114.2526448,102184,-602050.8125
1742044147.736069,153264,-578580.5
1742044180.7923048,203480,-394513.4375
1742044214.1302884,254576,-279884.625
1742044246.7748315,304776,-336890.34375
1742044279.9103906,355600,-197969.890625
1742044314.310786,406696,-223253.8125
1742044349.2862146,457952,-102996.0234375
1742044382.4364088,508392,-114963.8828125
1742044416.4402184,559248,-43733.578125
1742044450.5933547,609952,-43097.7890625
1742044485.4228024,660496,-34794.3515625
1742044520.4473464,710912,-35318.0
1742044555.5506382,762360,-31825.4609375
1742044590.4802043,813288,-27935.7890625
1742044625.9512427,863880,-26928.009765625
1742044661.4708974,915136,-26410.009765625
1742044698.0919733,965928,-24497.94921875
1742044737.489108,1017288,-23759.25
1742044774.91999,1068216,-23929.109375
1742044811.1755514,1118872,-23414.51953125
1742044847.450136,1169472,-22441.73046875
1742044885.257358,1221008,-21934.58984375
1742044921.263785,1271264,-22671.150390625
1742044957.9125512,1321536,-23638.140625
1742044994.9277623,1372176,-22273.029296875
1742045031.771083,1423144,-22634.7109375
1742045068.0316353,1474064,-22826.5703125
1742045104.5116925,1525832,-22985.3203125
1742045140.865827,1576344,-22299.2890625
1742045176.571163,1626680,-22525.099609375
1742045211.8156133,1677008,-22142.119140625
1742045248.12731,1728072,-23384.83984375
1742045285.4177725,1779464,-21997.900390625
1742045321.598126,1830168,-22535.560546875
1742045356.8947597,1880760,-23372.2890625
1742045392.451082,1931224,-22838.05078125
1742045428.082609,1982752,-22246.849609375
1742045464.4698699,2034024,-21899.8203125
1742045501.0039432,2084552,-22428.390625
1742045537.8239174,2135416,-21435.060546875
1742045572.9203756,2185808,-21932.2109375
1742045609.149259,2236520,-22576.19921875
1742045645.6234965,2287280,-23822.130859375
1742045681.6025064,2338712,-22326.439453125
1742045717.5788987,2389240,-23021.73046875
1742045753.5570958,2440384,-22846.369140625
1742045789.9879806,2491704,-24139.7109375
1742045825.160501,2541936,-21886.7890625
1742045861.9284773,2593000,-21506.109375
1742045898.3822737,2643960,-22630.060546875
1742045935.0595727,2695104,-22599.380859375
1742045971.8606627,2745600,-23530.240234375
1742046008.04,2796480,-22208.759765625
1742046045.0227635,2847064,-22962.55078125
1742046081.6673234,2897952,-22510.830078125
1742046118.8759327,2948792,-21525.189453125
1742046154.7515047,2999120,-21413.94921875
1742046191.2349384,3050328,-22098.630859375
1742046226.977597,3100768,-22565.609375
1742046263.0201514,3151272,-23258.41015625
1742046299.5101993,3202800,-23114.099609375
1742046335.5895486,3253816,-22871.55078125
1742046371.3164995,3304720,-21582.509765625
1742046407.362425,3355280,-23356.119140625
1742046443.386007,3406080,-22409.810546875
1742046479.7516568,3456560,-22910.380859375
1742046516.9130955,3507824,-22015.0390625
1742046553.6001134,3558456,-24015.810546875
