Wall time,Step,Value
1742061574.6192777,57344,-722040.75
1742061612.0550935,106496,-325066.15625
1742061650.0037353,155648,-63289.5
1742061688.0584757,204800,-45533.859375
1742061732.0564759,262144,-43974.5
1742061769.7097583,311296,-46835.109375
1742061807.186212,360448,-39385.87109375
1742061845.217097,409600,-38551.80859375
1742061882.5935054,458752,-34763.01953125
1742061925.99332,516096,-33601.53125
1742061964.265522,565248,-33566.1484375
1742062001.9040287,614400,-33996.08984375
1742062039.9277165,663552,-34727.94140625
1742062076.6528513,712704,-31957.099609375
1742062114.1941383,761856,-30520.810546875
1742062159.6665509,819200,-30116.640625
1742062198.3132875,868352,-30913.169921875
1742062236.393177,917504,-34837.91015625
1742062273.903664,966656,-32162.25
1742062312.2099228,1015808,-30473.51953125
1742062349.1118317,1064960,-33808.5703125
1742062396.6607609,1122304,-53176.33984375
1742062434.649596,1171456,-48462.3203125
1742062472.5425205,1220608,-35723.55078125
1742062510.1857872,1269760,-33474.37890625
1742062556.0474932,1327104,-32623.259765625
1742062594.022365,1376256,-29800.109375
1742062631.571274,1425408,-27370.400390625
1742062669.1158001,1474560,-28219.75
1742062707.1580472,1523712,-25094.990234375
1742062744.8135688,1572864,-25159.880859375
1742062790.7842073,1630208,-29916.19921875
1742062828.2076664,1679360,-28718.94921875
1742062865.6284153,1728512,-29303.259765625
1742062902.6952446,1777664,-24857.26953125
1742062940.516657,1826816,-24026.779296875
1742062985.9296935,1884160,-23992.669921875
1742063023.1356575,1933312,-27643.9296875
1742063060.949581,1982464,-32904.1015625
1742063098.0993745,2031616,-27505.970703125
1742063136.2054565,2080768,-25919.76953125
1742063181.7925947,2138112,-25248.890625
1742063219.8173764,2187264,-24937.9609375
1742063257.1376712,2236416,-25111.279296875
1742063296.009487,2285568,-26023.869140625
1742063333.9308546,2334720,-27224.94921875
1742063378.809467,2392064,-24665.0390625
1742063415.9240186,2441216,-23747.060546875
1742063452.8443303,2490368,-25145.419921875
1742063490.67092,2539520,-23880.41015625
1742063528.3786995,2588672,-24556.4296875
1742063565.6467948,2637824,-23623.26953125
1742063611.8739254,2695168,-22002.109375
1742063649.4745557,2744320,-24405.44921875
1742063686.1834745,2793472,-25388.5703125
1742063724.3728044,2842624,-23109.009765625
1742063761.8893483,2891776,-24154.9296875
1742063807.1470532,2949120,-24542.44921875
1742063844.7347393,2998272,-25119.369140625
1742063882.2951608,3047424,-25525.83984375
